arrHighscores(,0,",",0,).playerName = ,"""Alfred""",,"arrHighscores(0,0).playerName = ""Alfred""",,,,"arrHighscores(0,0).playerName = ""Alfred"""
arrHighscores(,0,",",0,).gameTime = ,10,,"arrHighscores(0,0).gameTime = 10",,,,"arrHighscores(0,0).gameTime = 10"
arrHighscores(,0,",",1,).playerName = ,"""Bob""",,"arrHighscores(0,1).playerName = ""Bob""",,,,"arrHighscores(0,1).playerName = ""Bob"""
arrHighscores(,0,",",1,).gameTime = ,20,,"arrHighscores(0,1).gameTime = 20",,,,"arrHighscores(0,1).gameTime = 20"
arrHighscores(,0,",",2,).playerName = ,"""Cheryl""",,"arrHighscores(0,2).playerName = ""Cheryl""",,,,"arrHighscores(0,2).playerName = ""Cheryl"""
arrHighscores(,0,",",2,).gameTime = ,30,,"arrHighscores(0,2).gameTime = 30",,,,"arrHighscores(0,2).gameTime = 30"
arrHighscores(,0,",",3,).playerName = ,"""Damon""",,"arrHighscores(0,3).playerName = ""Damon""",,,,"arrHighscores(0,3).playerName = ""Damon"""
arrHighscores(,0,",",3,).gameTime = ,40,,"arrHighscores(0,3).gameTime = 40",,,,"arrHighscores(0,3).gameTime = 40"
arrHighscores(,0,",",4,).playerName = ,"""Edvin""",,"arrHighscores(0,4).playerName = ""Edvin""",,,,"arrHighscores(0,4).playerName = ""Edvin"""
arrHighscores(,0,",",4,).gameTime = ,50,,"arrHighscores(0,4).gameTime = 50",,,,"arrHighscores(0,4).gameTime = 50"
arrHighscores(,1,",",0,).playerName = ,"""Frank""",,"arrHighscores(1,0).playerName = ""Frank""",,,,"arrHighscores(1,0).playerName = ""Frank"""
arrHighscores(,1,",",0,).gameTime = ,11,,"arrHighscores(1,0).gameTime = 11",,,,"arrHighscores(1,0).gameTime = 11"
arrHighscores(,1,",",1,).playerName = ,"""George""",,"arrHighscores(1,1).playerName = ""George""",,,,"arrHighscores(1,1).playerName = ""George"""
arrHighscores(,1,",",1,).gameTime = ,21,,"arrHighscores(1,1).gameTime = 21",,,,"arrHighscores(1,1).gameTime = 21"
arrHighscores(,1,",",2,).playerName = ,"""Henry""",,"arrHighscores(1,2).playerName = ""Henry""",,,,"arrHighscores(1,2).playerName = ""Henry"""
