1000,11
1001,26
1002,40
1003,21
1004,6
1005,4
1006,41
1007,22
1008,14
1009,7
1010,28
1011,54
1012,6
1013,13
1014,11
1015,18
1016,11
1017,17
1018,18
1019,10
1020,35
1021,8
1022,14
1023,23
1024,11
1025,21
1026,30
1027,34
1028,22
1029,1
1030,24
1031,44
1032,13
1033,9
1034,21
1035,45
1036,15
1037,5
1038,40
1039,10
1040,23
1041,31
1042,0
1043,23
1044,25
1045,12
1046,22
1047,29
1048,9
1049,11
1050,56
1051,29
1052,9
1053,17
1054,18
1055,43
1056,1
1057,32
1058,7
1059,15
1060,29
1061,2
1062,45
1063,31
1064,19
1065,25
1066,33
1067,33
1068,31
1069,21
1070,7
1071,19
1072,24
1073,16
1074,25
1075,7
1076,10
1077,23
1078,18
1079,4
1080,13
1081,26
1082,22
1083,31
1084,23
1085,8
1086,14
1087,28
1088,15
1089,8
1090,6
1091,21
1092,23
1093,34
1094,29
1095,27
1096,25
1097,23
1098,25
1099,25
1100,14
1101,14
1102,3
1103,29
1104,28
1105,26
1106,29
1107,17
1108,26
1109,21
1110,11
1111,2
1112,13
1113,12
1114,15
1115,26
1116,12
1117,10
1118,25
1119,29
1120,9
1121,19
1122,24
1123,28
1124,24
1125,26
1126,11
1127,7
1128,34
1129,21
1130,26
1131,31
1132,9
1133,19
1134,25
1135,11
1136,20
1137,32
1138,14
1139,4
1140,13
1141,24
1142,37
1143,10
1144,12
1145,0
1146,22
1147,0
1148,49
1149,16
1150,6
1151,9
1152,38
1153,26
1154,24
1155,3
1156,0
1157,18
1158,36
1159,17
1160,12
1161,19
1162,0
1163,40
1164,35
1165,33
1166,4
1167,9
1168,11
1169,49
1170,8
1171,43
1172,15
1174,31
1175,17
1176,0
1177,13
1178,22
1179,23
1180,2
1181,27
1182,9
1183,5
1184,0
1185,24
1186,2
1187,33
1188,12
1189,39
1190,5
1191,22
1192,8
1193,15
1194,0
1195,10
1196,15
1197,1
1198,28
1199,9
